date,Vehicle Class,category,registrations,YoY_%,QoQ_%
2025-08-09,ADAPTED VEHICLE,4WIC,1963,,
2025-08-09,OMNI BUS (PRIVATE USE),TOTAL,5493,,
2025-08-09,MOTOR CAR,TOTAL,2325098,,
2025-08-09,ADAPTED VEHICLE,TOTAL,1963,,
2025-08-09,QUADRICYCLE (PRIVATE),HMV,0,,
2025-08-09,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),HMV,22,,
2025-08-09,OMNI BUS (PRIVATE USE),HMV,33,,
2025-08-09,MOTOR CAR,HMV,0,,
2025-08-09,ADAPTED VEHICLE,HMV,0,,
2025-08-09,QUADRICYCLE (PRIVATE),MMV,0,,
2025-08-09,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),MMV,12,,
2025-08-09,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),TOTAL,1112,,
2025-08-09,OMNI BUS (PRIVATE USE),MMV,55,,
2025-08-09,ADAPTED VEHICLE,MMV,0,,
2025-08-09,QUADRICYCLE (PRIVATE),LMV,6,,
2025-08-09,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),LMV,1078,,
2025-08-09,OMNI BUS (PRIVATE USE),LMV,5405,,
2025-08-09,MOTOR CAR,LMV,2325098,,
2025-08-09,ADAPTED VEHICLE,LMV,0,,
2025-08-09,QUADRICYCLE (PRIVATE),4WIC,0,,
2025-08-09,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),4WIC,0,,
2025-08-09,OMNI BUS (PRIVATE USE),4WIC,0,,
2025-08-09,MOTOR CAR,4WIC,0,,
2025-08-09,MOTOR CAR,MMV,0,,
2025-08-09,QUADRICYCLE (PRIVATE),TOTAL,6,,
